gene_id;gene_name;seqname;type;weighted_fpkm
gene17524;fuss;NC_004353.4;gene;3.21130392146872
gene17525;sphinx;NC_004353.4;gene;1.09923383469734
gene17526;toy;NC_004353.4;gene;21.8288962737394
gene17527;PlexA;NC_004353.4;gene;45.0162016442731
gene17528;CR44031;NC_004353.4;gene;10.4889651986975
gene17529;CG11077;NC_004353.4;gene;39.038286802077
gene17530;CG11076;NC_004353.4;gene;104.026597881239
gene17531;ATPsynbeta;NC_004353.4;gene;2388.79970670336
gene17532;CaMKII;NC_004353.4;gene;129.330792568824
gene17533;Zyx;NC_004353.4;gene;57.2388555180462
gene17534;apolpp;NC_004353.4;gene;469.911625687378
gene17535;Actbeta;NC_004353.4;gene;13.9719762033673
gene17536;sv;NC_004353.4;gene;3.88147983892987
gene17537;Cals;NC_004353.4;gene;92.7240108589403
gene17538;Arf102F;NC_004353.4;gene;162.133730572754
gene17539;CG11155;NC_004353.4;gene;71.8139528656005
gene17540;CG32017;NC_004353.4;gene;50.1247465418848
gene17541;Kif3C;NC_004353.4;gene;3.64087685451754
gene17542;pho;NC_004353.4;gene;42.5961860136356
gene17543;CG33521;NC_004353.4;gene;61.6409641670135
gene17544;PIP4K;NC_004353.4;gene;92.8995370758073
gene17545;Mitf;NC_004353.4;gene;44.0825630435956
gene17546;Dyrk3;NC_004353.4;gene;31.9706408197221
gene17547;Cadps;NC_004353.4;gene;59.42446921484
gene0;CR40469;NC_004354.4;gene;2634.55921061866
gene1;CG17636;NC_004354.4;gene;1.11341951560007
gene2;RhoGAP1A;NC_004354.4;gene;28.8195138329284
gene3;mir-4915;NC_004354.4;gene;0
gene4;CR45473;NC_004354.4;gene;6.09126516891837
gene5;tyn;NC_004354.4;gene;8.01877603738733
gene6;CG17707;NC_004354.4;gene;0.598180585893036
gene7;CR43863;NC_004354.4;gene;0.687324604338884
gene8;CG3038;NC_004354.4;gene;8.36425872132257
gene9;G9a;NC_004354.4;gene;20.4026671683533
gene10;CG42376;NC_004354.4;gene;61.5537092270228
gene11;cin;NC_004354.4;gene;36.0037674792289
gene12;CG13377;NC_004354.4;gene;13.0470241903527
gene13;CR43906;NC_004354.4;gene;2.17211530118285
gene14;CG13376;NC_004354.4;gene;0.520148075337552
gene15;ewg;NC_004354.4;gene;24.9032372540737
gene16;CG3777;NC_004354.4;gene;1.94516802060881
gene17;mir-980;NC_004354.4;gene;NA
gene18;CG13375;NC_004354.4;gene;10.8689663741198
gene19;CG12470;NC_004354.4;gene;25.6208193145734
gene20;Or1a;NC_004354.4;gene;0.650705202887252
gene21;CG32816;NC_004354.4;gene;4.6839512893355
gene22;CG43181;NC_004354.4;gene;0.012254074446322
gene23;CG43182;NC_004354.4;gene;0.214314598666849
gene24;y;NC_004354.4;gene;0.998647576316917
gene25;yar;NC_004354.4;gene;0.0372873463353599
gene26;ac;NC_004354.4;gene;0.0124850558155974
gene27;CR44751;NC_004354.4;gene;0.822376887115361
gene28;CR44752;NC_004354.4;gene;0.0935422751257381
gene29;CR44753;NC_004354.4;gene;0.120673964438192
gene30;sc;NC_004354.4;gene;0.0277483910507785
gene31;l(1)sc;NC_004354.4;gene;0.0109777819347629
gene32;Pgcl;NC_004354.4;gene;7.38865977433874
gene33;ase;NC_004354.4;gene;0.0218623875397455
gene34;Cyp4g1;NC_004354.4;gene;1567.32331756472
gene35;ebo;NC_004354.4;gene;18.7358481680435
gene36;CR18275;NC_004354.4;pseudogene;2.89834420110551
gene37;CG13373;NC_004354.4;gene;23.345768629312
gene38;CG32817;NC_004354.4;gene;1.45841802707958
gene39;CR18166;NC_004354.4;pseudogene;5.06455597588093
gene40;CG3176;NC_004354.4;gene;4.44956468349019
gene41;CG18273;NC_004354.4;gene;10.6871555127753
gene42;CG3156;NC_004354.4;gene;10.0182094093592
gene43;CR45797;NC_004354.4;gene;0.348285957196154
gene44;CG17896;NC_004354.4;gene;94.4374154675675
gene45;CG17778;NC_004354.4;gene;24.2460251743636
gene46;svr;NC_004354.4;gene;93.9971153718479
gene47;CR44891;NC_004354.4;gene;0.827320150693272
gene48;CR44892;NC_004354.4;gene;1.63928088558167
gene49;elav;NC_004354.4;gene;12.6734425206828
gene50;arg;NC_004354.4;gene;7.01771722063885
gene51;CG4293;NC_004354.4;gene;12.3458317257104
gene52;Appl;NC_004354.4;gene;64.927855801343
gene53;mir-4960;NC_004354.4;gene;NA
gene54;vnd;NC_004354.4;gene;1.62898332416043
gene55;CG13366;NC_004354.4;gene;30.146981791534
gene56;CR45474;NC_004354.4;gene;0.616301950486092
gene57;CG13365;NC_004354.4;gene;32.2248847793466
gene58;Vsp37A;NC_004354.4;gene;32.1545855202923
gene59;CG13369;NC_004354.4;gene;17.0809113461382
gene60;CG13364;NC_004354.4;gene;201.237589211269
gene61;CR45475;NC_004354.4;gene;0.204753371729951
gene62;CG17829;NC_004354.4;gene;12.8130613938945
gene63;RpL36;NC_004354.4;gene;1343.45026443208
gene64;l(1)1Bi;NC_004354.4;gene;8.32519031223481
gene65;Dredd;NC_004354.4;gene;14.4970977209255
gene66;mir-9372;NC_004354.4;gene;NA
gene67;su(sable);NC_004354.4;gene;12.5279050309428
gene68;CR44839;NC_004354.4;pseudogene;0.0343221846406348
gene69;CG13367;NC_004354.4;gene;8.25926402502362
gene70;Roc1a;NC_004354.4;gene;106.699274758676
gene71;Hmt4-20;NC_004354.4;gene;25.4414038426835
gene72;SkpA;NC_004354.4;gene;214.829637687991
gene73;sdk;NC_004354.4;gene;9.28248131641857
gene74;CG13362;NC_004354.4;gene;0.25732645521521
gene75;CG5254;NC_004354.4;gene;26.7085062639196
gene76;CG13361;NC_004354.4;gene;0.127064957608976
gene77;CG5273;NC_004354.4;gene;77.5808719281863
gene78;CR44965;NC_004354.4;gene;0.742574746379634
gene79;RpL22;NC_004354.4;gene;844.7667133498
gene80;CR42491;NC_004354.4;gene;95.1901418933853
gene81;snoRNA:Psi18S-531;NC_004354.4;gene;292.249937257131
gene82;snoRNA:Psi28S-2179;NC_004354.4;gene;99.341007652534
gene83;CR44966;NC_004354.4;gene;0.241822850371585
gene84;fz3;NC_004354.4;gene;3.0076545839654
gene85;tw;NC_004354.4;gene;1.16346572837136
gene86;CG13360;NC_004354.4;gene;24.1726678569973
gene87;CR44469;NC_004354.4;gene;0.119788607338757
gene88;CG16989;NC_004354.4;gene;15.8859524341519
gene89;Rbf;NC_004354.4;gene;22.231829677661
gene90;CG13359;NC_004354.4;gene;1.34476938466677
gene91;CG13358;NC_004354.4;gene;0.164741968570994
gene92;Sec22;NC_004354.4;gene;43.2015743733147
gene93;CG43867;NC_004354.4;gene;13.1290063992657
gene94;CG14635;NC_004354.4;gene;2.04140957283676
gene95;CG3713;NC_004354.4;gene;1.98815134518983
gene96;CG14634;NC_004354.4;gene;0.694108822628334
gene97;CG11664;NC_004354.4;gene;1.40384018394392
gene98;CG11663;NC_004354.4;gene;4.49145754884053
gene99;CG3711;NC_004354.4;gene;19.890636126102
gene100;MED22;NC_004354.4;gene;43.7970408440025
gene101;CG3708;NC_004354.4;gene;2.10019706516427
gene102;CG3706;NC_004354.4;gene;2.06735151658837
gene103;CG32815;NC_004354.4;gene;14.5158732328242
gene104;TRAM;NC_004354.4;gene;23.8393237691864
gene105;CG3704;NC_004354.4;gene;20.5215974023237
gene106;mus81;NC_004354.4;gene;12.407439481227
gene107;CG3703;NC_004354.4;gene;10.2165020467622
gene108;CG3699;NC_004354.4;gene;74.4285188707045
gene109;CG3690;NC_004354.4;gene;7.43094854716592
gene110;CR45476;NC_004354.4;gene;0.0862201883852481
gene111;CG18823;NC_004354.4;gene;0.25504022656277
gene112;TfIIA-S-2;NC_004354.4;gene;1.00242476211655
gene113;CG14631;NC_004354.4;gene;2.0169329318415
gene114;su(w[a]);NC_004354.4;gene;55.7863017659239
gene115;CG11638;NC_004354.4;gene;12.6470009074864
gene116;CG32814;NC_004354.4;gene;0.686792149469839
gene117;CG3021;NC_004354.4;gene;13.3104095420461
gene118;CDC45L;NC_004354.4;gene;30.8434112240203
gene119;CG33082;NC_004354.4;gene;2.90102735572576
gene120;CG14630;NC_004354.4;gene;8.86727793448042
gene121;CG42259;NC_004354.4;gene;37.0221478719631
gene122;CR44779;NC_004354.4;gene;5.56440379129754
gene123;CG14629;NC_004354.4;gene;103.279146893178
gene124;CG3655;NC_004354.4;gene;11.8146798020372
gene125;CG14628;NC_004354.4;gene;3.3905849789972
gene126;eIF4E7;NC_004354.4;gene;3.08428342391376
gene127;CR34320;NC_004354.4;pseudogene;0.00957107361784525
gene128;CG11378;NC_004354.4;gene;18.1499785121131
gene129;CG11384;NC_004354.4;gene;0.363014046888967
gene130;CG11379;NC_004354.4;gene;3.86616174595827
gene131;CG14627;NC_004354.4;gene;0.0915904495264303
gene132;CG14626;NC_004354.4;gene;0.201349601752839
gene133;CG11380;NC_004354.4;gene;0.291366286203793
gene134;CG14625;NC_004354.4;gene;0.169816946292913
gene135;CG11381;NC_004354.4;gene;26.5736695667776
gene136;CG14624;NC_004354.4;gene;0.30092348571717
gene137;CG11382;NC_004354.4;gene;1.62583898271289
gene138;CG11398;NC_004354.4;gene;7.27639959761643
gene139;CG3638;NC_004354.4;gene;14.868343662014
gene140;CG11403;NC_004354.4;gene;5.6077655910632
gene141;Atf3;NC_004354.4;gene;5.75281438394281
gene142;CG32812;NC_004354.4;gene;1.62924724390139
gene143;DAAM;NC_004354.4;gene;12.2822973797511
gene144;CG32811;NC_004354.4;gene;3.95454716334567
gene145;CR46248;NC_004354.4;gene;0.230277546992934
gene146;fs(1)N;NC_004354.4;gene;12.0155245711248
gene147;CG11409;NC_004354.4;gene;0.993451044931307
gene148;Naa30A;NC_004354.4;gene;28.4398986397809
gene149;MTPAP;NC_004354.4;gene;9.26826203173548
gene150;Tsp2A;NC_004354.4;gene;13.056880324167
gene151;CG12773;NC_004354.4;gene;15.5149880577054
gene152;CG11417;NC_004354.4;gene;12.0776558462166
gene153;png;NC_004354.4;gene;18.3235708020268
gene154;CG14770;NC_004354.4;gene;0.267799956108057
gene155;ssx;NC_004354.4;gene;35.6681501769637
gene156;mir-4961;NC_004354.4;gene;0
gene157;AMPKalpha;NC_004354.4;gene;40.728266897245
gene158;CG3719;NC_004354.4;gene;60.8613224977807
gene159;CG32813;NC_004354.4;gene;7.20007831218236
gene160;CG11448;NC_004354.4;gene;33.3953229570683
gene161;futsch;NC_004354.4;gene;16.2991372556488
gene162;Gr2a;NC_004354.4;gene;0.0431365012649573
gene163;CG14785;NC_004354.4;gene;3.81738473766699
gene164;Lrpprc2;NC_004354.4;gene;7.83548297458427
gene165;CG14787;NC_004354.4;gene;1.0730699131401
gene166;Ns3;NC_004354.4;gene;14.914179594087
gene167;O-fut2;NC_004354.4;gene;7.1670231845885
gene168;CG14777;NC_004354.4;gene;38.3930440665482
gene169;CG14778;NC_004354.4;gene;7.91445543436678
gene170;CG32808;NC_004354.4;gene;2.86662619581337
gene171;pck;NC_004354.4;gene;25.2115929711948
gene172;CG14780;NC_004354.4;gene;0.367934031036766
gene173;Rab27;NC_004354.4;gene;6.94805057145404
gene174;mei-38;NC_004354.4;gene;9.15296563302411
gene175;rush;NC_004354.4;gene;27.4920679449388
gene176;sta;NC_004354.4;gene;611.170268357897
gene177;snoRNA:M;NC_004354.4;gene;10.0413124937736
gene178;snoRNA:Me28S-G980;NC_004354.4;gene;0
gene179;inc;NC_004354.4;gene;24.6090238653725
gene180;Nmdar2;NC_004354.4;gene;6.89222412332263
gene181;CG14795;NC_004354.4;gene;2.86195736353413
gene182;Mur2B;NC_004354.4;gene;10.4970740498685
gene183;snmRNA:400;NC_004354.4;gene;0
gene184;br;NC_004354.4;gene;4.40219010289801
gene185;dor;NC_004354.4;gene;6.74698580000634
gene186;CG3740;NC_004354.4;gene;22.4588029280108
gene187;hfw;NC_004354.4;gene;14.292824753751
gene188;CG32809;NC_004354.4;gene;20.5443789037438
gene189;CG14797;NC_004354.4;gene;0.585120812785473
gene190;b6;NC_004354.4;gene;0.953403281519694
gene191;CG14798;NC_004354.4;gene;4.51011598087868
gene192;a6;NC_004354.4;gene;6.3749260515595
gene193;CG3795;NC_004354.4;gene;1.26274269374652
gene194;Scgdelta;NC_004354.4;gene;5.2831800993472
gene195;prage;NC_004354.4;gene;8.81144486208017
gene196;Adar;NC_004354.4;gene;36.6634096187948
gene197;mir-981;NC_004354.4;gene;NA
gene198;CG32806;NC_004354.4;gene;4.79766719595126
gene199;CG14810;NC_004354.4;gene;0.745562406840812
gene200;CG14811;NC_004354.4;gene;0.86946307812789
gene201;CG14812;NC_004354.4;gene;34.2714668859372
gene202;deltaCOP;NC_004354.4;gene;31.4583250914778
gene203;CG14814;NC_004354.4;gene;26.8078053873051
gene204;MED18;NC_004354.4;gene;22.7411652586799
gene205;Pex5;NC_004354.4;gene;16.4932474983029
gene206;CG14803;NC_004354.4;gene;9.12414119436896
gene207;Pgam5;NC_004354.4;gene;20.5707484517982
gene208;Vps26;NC_004354.4;gene;25.6377389922831
gene209;CG14817;NC_004354.4;gene;44.7442506905899
gene210;CG14805;NC_004354.4;gene;20.9076880570389
gene211;CG14818;NC_004354.4;gene;85.689458094886
gene212;CG14806;NC_004354.4;gene;49.9882638467183
gene213;trr;NC_004354.4;gene;5.51015319868702
gene214;mRpL16;NC_004354.4;gene;21.846867750043
gene215;arm;NC_004354.4;gene;106.476578330149
gene216;CG32803;NC_004354.4;gene;26.9155422766577
gene217;CR45929;NC_004354.4;gene;0.460543088940579
gene218;CR43864;NC_004354.4;gene;1.65270333276096
gene219;CG32801;NC_004354.4;gene;1.43987185052099
gene220;Edem1;NC_004354.4;gene;10.7373977880407
gene221;mip130;NC_004354.4;gene;8.7156844957526
gene222;Rbcn-3B;NC_004354.4;gene;13.6042639691284
gene223;eIF2Bepsilon;NC_004354.4;gene;11.9708196954355
gene224;Ocrl;NC_004354.4;gene;14.027436159062
gene225;CG11596;NC_004354.4;gene;32.0424864771193
gene226;CG3857;NC_004354.4;gene;3.61487959688328
gene227;CG3587;NC_004354.4;gene;12.028321651548
gene228;Hr4;NC_004354.4;gene;0.732421459387408
gene229;PIG-K;NC_004354.4;gene;28.9618987031479
gene230;CR45478;NC_004354.4;gene;0.123082928285785
gene231;mir-2496;NC_004354.4;gene;0
gene232;east;NC_004354.4;gene;17.4214450484339
gene233;Actn;NC_004354.4;gene;82.8284784852374
gene234;mir-4954;NC_004354.4;gene;0
gene235;usp;NC_004354.4;gene;20.9550701361798
gene236;CG4313;NC_004354.4;gene;5.11164884232505
gene237;CG4325;NC_004354.4;gene;2.69736917939433
gene238;moody;NC_004354.4;gene;13.1035932610539
gene239;Sik2;NC_004354.4;gene;5.35281563983134
gene240;CR44896;NC_004354.4;gene;0.162857594571416
gene241;CG4281;NC_004354.4;gene;19.3932318096889
gene242;CG14054;NC_004354.4;gene;2.09027778117665
gene243;CR44381;NC_004354.4;gene;2.00242652445901
gene244;CG4199;NC_004354.4;gene;44.4851314610675
gene245;CG4194;NC_004354.4;gene;1.0151047049755
gene246;CR44382;NC_004354.4;gene;1.63240249963654
gene247;Rtca;NC_004354.4;gene;7.06447031432505
gene248;CG4045;NC_004354.4;gene;20.8283933357538
gene249;CG4025;NC_004354.4;gene;21.9872671765467
gene250;CG16903;NC_004354.4;gene;18.6424541691791
gene251;Unc-76;NC_004354.4;gene;46.8054847261803
gene252;csw;NC_004354.4;gene;38.5757940433463
gene253;snoRNA:Me18S-C1024;NC_004354.4;gene;0
gene254;ph-d;NC_004354.4;gene;4.12123944599879
gene255;ph-p;NC_004354.4;gene;4.26436602028012
gene256;D2hgdh;NC_004354.4;gene;58.3533704933629
gene257;Pgd;NC_004354.4;gene;58.1137913682306
gene258;bcn92;NC_004354.4;gene;32.8644330987088
gene259;wapl;NC_004354.4;gene;15.1666449541578
gene260;Cyp4d1;NC_004354.4;gene;3.92563421673895
gene261;CG3630;NC_004354.4;gene;43.1062202249295
gene262;mir-3641;NC_004354.4;gene;0
gene263;ND-B14.5A;NC_004354.4;gene;95.257793789435
gene264;Cyp4d14;NC_004354.4;gene;7.27058296379623
gene265;CR45479;NC_004354.4;gene;2.77295601012094
gene266;CR44690;NC_004354.4;gene;2.89082541035561
gene267;Cyp4d2;NC_004354.4;gene;16.003667810278
gene268;Cyp4ae1;NC_004354.4;gene;7.77777921413885
gene269;pn;NC_004354.4;gene;18.2853811801406
gene270;Nmd3;NC_004354.4;gene;25.2308656916718
gene271;CG17776;NC_004354.4;gene;71.9734193483339
gene272;CG17777;NC_004354.4;gene;4.38794812066161
gene273;CG3457;NC_004354.4;gene;11.7445528808446
gene274;Mct1;NC_004354.4;gene;12.3211674152884
gene275;CG14053;NC_004354.4;gene;4.93234029272463
gene276;CR43637;NC_004354.4;gene;2.25968570881715
gene277;FarO;NC_004354.4;gene;7.19097484522306
gene278;SmydA-8;NC_004354.4;gene;17.0931410810423
gene279;Vinc;NC_004354.4;gene;16.6940767100227
gene280;CG14052;NC_004354.4;gene;0.0545696534932108
gene281;pcx;NC_004354.4;gene;4.92703691243558
gene282;kz;NC_004354.4;gene;6.10663924595326
gene283;fs(1)K10;NC_004354.4;gene;10.7464107074973
gene284;Or2a;NC_004354.4;gene;0.356012743831162
gene285;crn;NC_004354.4;gene;12.4367415097512
gene286;CG3191;NC_004354.4;gene;9.45567264398357
gene287;CG3091;NC_004354.4;gene;28.9360008564404
gene288;CG3078;NC_004354.4;gene;11.1055151258833
gene289;temp;NC_004354.4;gene;25.0893263154702
gene290;CG3071;NC_004354.4;gene;18.1005203380766
gene291;CG2924;NC_004354.4;gene;42.5584666145215
gene292;CR45480;NC_004354.4;gene;1.02734654127498
gene293;CG2918;NC_004354.4;gene;56.1356629134341
gene294;Vml;NC_004354.4;gene;35.3677283277822
gene295;CG2865;NC_004354.4;gene;15.188322167674
gene296;Raf;NC_004354.4;gene;15.9485015985396
gene297;CR34052;NC_004354.4;gene;0.0192528029702773
gene298;CG14050;NC_004354.4;gene;1.26036099361758
gene299;CG2854;NC_004354.4;gene;2.47779747822047
gene300;CR33218;NC_004354.4;gene;6.77050517474772
gene301;Ilp6;NC_004354.4;gene;9.52361065239673
gene302;mRpL14;NC_004354.4;gene;45.751350525878
gene303;CG2841;NC_004354.4;gene;15.3824693467336
gene304;PsGEF;NC_004354.4;gene;11.9251995237293
gene305;CG12496;NC_004354.4;gene;0.0140768898030645
gene306;CG32797;NC_004354.4;gene;0.276098503598373
gene307;gt;NC_004354.4;gene;2.51237273855745
gene308;tko;NC_004354.4;gene;34.9615097180931
gene309;boi;NC_004354.4;gene;6.29815522693047
gene310;z;NC_004354.4;gene;11.8518450959811
gene311;trol;NC_004354.4;gene;30.5723171558809
gene312;mir-4955;NC_004354.4;gene;NA
gene313;Pdfr;NC_004354.4;gene;10.3799047596799
gene314;Vha36-3;NC_004354.4;gene;12.9509332783756
gene315;CG13759;NC_004354.4;gene;6.79754516148016
gene316;CG13760;NC_004354.4;gene;13.15635360078
gene317;wds;NC_004354.4;gene;19.3515401794534
gene318;egh;NC_004354.4;gene;36.5811762573105
gene319;Klp3A;NC_004354.4;gene;11.2014417698418
gene320;Zw10;NC_004354.4;gene;19.077960215471
gene321;Smyd3;NC_004354.4;gene;10.293782192996
gene322;eIF3g1;NC_004354.4;gene;84.6645568881407
gene323;Tsp3A;NC_004354.4;gene;6.85572566588928
gene324;Seipin;NC_004354.4;gene;7.5969434989438
gene325;brv3;NC_004354.4;gene;0.858514341980814
gene326;PI4KIIIalpha;NC_004354.4;gene;22.0840920610335
gene327;sgg;NC_004354.4;gene;59.720705757675
gene328;CR45197;NC_004354.4;gene;14.7743362290649
gene329;HLH3B;NC_004354.4;gene;0.312569856284524
gene330;CG2652;NC_004354.4;gene;2.71103690420979
gene331;CR44470;NC_004354.4;gene;0.0744472211576869
gene332;per;NC_004354.4;gene;5.7982865547924
gene333;CG2650;NC_004354.4;gene;1.51387538529952
gene334;CG2658;NC_004354.4;gene;15.1981009700364
gene335;CG2662;NC_004354.4;gene;5.76684128841693
gene336;Csat;NC_004354.4;gene;11.9549172230998
gene337;eIF2Bbeta;NC_004354.4;gene;27.7489855301812
gene338;CG2680;NC_004354.4;gene;28.517117125743
gene339;CG2681;NC_004354.4;gene;2.9854499089265
gene340;CG2685;NC_004354.4;gene;8.18232043686184
gene341;CG2694;NC_004354.4;gene;12.2485021314111
gene342;CG2701;NC_004354.4;gene;11.9869766154516
gene343;fs(1)Yb;NC_004354.4;gene;0.469819001926516
gene344;fs(1)Ya;NC_004354.4;gene;25.3073790865941
gene345;vilya;NC_004354.4;gene;0.384986389258684
gene346;dwg;NC_004354.4;gene;6.30367103963323
gene347;ttm50;NC_004354.4;gene;19.0621349127981
gene348;CG2712;NC_004354.4;gene;4.81975533298686
gene349;crm;NC_004354.4;gene;12.7607298142367
gene350;Syx4;NC_004354.4;gene;9.99632708257742
gene351;kirre;NC_004354.4;gene;3.81685659442422
gene352;CR43494;NC_004354.4;gene;1.30055789620762
gene353;CG32795;NC_004354.4;gene;35.3671044128667
gene354;w;NC_004354.4;gene;7.0305311896367
gene355;CG12498;NC_004354.4;gene;1.1357948420177
gene356;CG14416;NC_004354.4;gene;0.180819391579584
gene357;CG14417;NC_004354.4;gene;0.126596648816893
gene358;CG14418;NC_004354.4;gene;0.0147606700877898
gene359;CG14419;NC_004354.4;gene;5.60604840760029
gene360;CG3526;NC_004354.4;gene;0.701004400070294
gene361;CG3588;NC_004354.4;gene;3.53287813118744
gene362;CG14424;NC_004354.4;gene;0.0871217571837796
gene363;CG32793;NC_004354.4;gene;0.0581392156448073
gene364;CG3592;NC_004354.4;gene;0.3709673647539
gene365;CG3598;NC_004354.4;gene;0.0688809309156078
gene366;CG14420;NC_004354.4;gene;0.083280127368735
gene367;CG14421;NC_004354.4;gene;0.0813816454845397
gene368;CG14422;NC_004354.4;gene;0.0501260709777118
gene369;CG14423;NC_004354.4;gene;0.0676660364006917
gene370;CG17959;NC_004354.4;gene;0.0990649761438315
gene371;CG3603;NC_004354.4;gene;15.591325981388
gene372;rst;NC_004354.4;gene;3.29803960431748
gene373;CG4116;NC_004354.4;gene;0.00821681741158043
gene374;N;NC_004354.4;gene;4.33222146387574
gene375;CG18508;NC_004354.4;gene;35.2239424052957
gene376;Fcp3C;NC_004354.4;gene;13.3642985492374
gene377;CG3939;NC_004354.4;gene;32.5005198386921
gene378;dnc;NC_004354.4;gene;27.0039465941338
gene379;CG14265;NC_004354.4;gene;0.0531603634922707
gene380;ng2;NC_004354.4;gene;0.00674129710283013
gene381;ng3;NC_004354.4;gene;0.0325300030171529
gene382;ng1;NC_004354.4;gene;0.00616475547958842
gene383;ng4;NC_004354.4;gene;0.161969938557748
