gene_id;seqname;strand;splice5;splice3;n1;n2
gene10137;NT_037436.4;-1;2125238;2124614;4328;1468
gene10137;NT_037436.4;-1;2129579;2129230;611;2
gene10137;NT_037436.4;-1;2130792;2129787;3649;10
gene10137;NT_037436.4;-1;2134099;2132585;2753;1
gene10137;NT_037436.4;-1;2134324;2134261;2932;0
gene10137;NT_037436.4;-1;2135862;2135751;1612;0
gene10137;NT_037436.4;-1;2137326;2136058;1584;143
gene10137;NT_037436.4;-1;2138293;2138083;628;1
gene10137;NT_037436.4;-1;2139600;2138471;1586;1
gene10137;NT_037436.4;-1;2140224;2139943;920;22
gene10137;NT_037436.4;-1;2141589;2141533;1156;0
gene10137;NT_037436.4;-1;2149744;2141713;1479;1
gene10139;NT_037436.4;-1;2154478;2154408;36;0
gene10139;NT_037436.4;-1;2156633;2154783;121;1
gene10139;NT_037436.4;-1;2157373;2157143;129;0
gene10139;NT_037436.4;-1;2158246;2157739;355;4
gene10139;NT_037436.4;-1;2160104;2158997;227;3
gene10139;NT_037436.4;-1;2160336;2160280;284;3
gene10139;NT_037436.4;-1;2160622;2160451;364;0
gene10139;NT_037436.4;-1;2161630;2160819;446;1
gene10141;NT_037436.4;-1;2170822;2170693;1388;9
gene10143;NT_037436.4;-1;2174136;2173982;1040;1
gene10144;NT_037436.4;1;2186055;2186122;24;0
gene10145;NT_037436.4;-1;2191939;2190411;1484;104
gene10148;NT_037436.4;1;2229685;2229861;20;14
gene10148;NT_037436.4;1;2230208;2230261;44;0
gene10148;NT_037436.4;1;2230549;2230603;16;0
gene10148;NT_037436.4;1;2231648;2231704;53;2
gene10149;NT_037436.4;-1;2235828;2235579;4079;7
gene10149;NT_037436.4;-1;2236800;2236730;4612;1
gene1015;NC_004354.4;-1;8973654;8973381;800;1
gene10150;NT_037436.4;1;2238551;2239092;57;4
gene10150;NT_037436.4;1;2239917;2239978;114;0
gene10150;NT_037436.4;1;2240261;2240758;251;5
gene10150;NT_037436.4;1;2241045;2241109;104;90
gene10150;NT_037436.4;1;2241286;2241347;167;0
gene10150;NT_037436.4;1;2241564;2241618;102;0
gene10150;NT_037436.4;1;2241944;2242004;80;0
gene10150;NT_037436.4;1;2242274;2242334;352;0
gene10150;NT_037436.4;1;2242430;2242483;607;10
gene10150;NT_037436.4;1;2242636;2242881;451;1
gene10151;NT_037436.4;1;2244807;2244862;33;0
gene10151;NT_037436.4;1;2245014;2245072;34;0
gene10151;NT_037436.4;1;2245411;2245461;51;0
gene10151;NT_037436.4;1;2245593;2245645;48;1
gene10151;NT_037436.4;1;2246588;2246653;10;0
gene10151;NT_037436.4;1;2246901;2246953;10;1
gene10151;NT_037436.4;1;2247374;2247428;12;1
gene10151;NT_037436.4;1;2247833;2247889;32;0
gene10151;NT_037436.4;1;2248094;2248145;12;0
gene10152;NT_037436.4;1;2248725;2248781;30;0
gene10152;NT_037436.4;1;2248923;2248973;14;0
gene10152;NT_037436.4;1;2249119;2249173;16;0
gene10152;NT_037436.4;1;2249524;2249589;50;0
gene10152;NT_037436.4;1;2250711;2250768;12;0
gene10152;NT_037436.4;1;2251158;2251210;23;0
gene10152;NT_037436.4;1;2251480;2251529;30;0
gene10152;NT_037436.4;1;2251940;2251995;17;0
gene10153;NT_037436.4;-1;2253328;2253272;32565;18
gene10153;NT_037436.4;-1;2253776;2253693;772;1
gene10153;NT_037436.4;-1;2256605;2253987;7466;3315
gene10154;NT_037436.4;1;2257803;2257871;3267;0
gene10154;NT_037436.4;1;2258518;2258579;5879;0
gene10155;NT_037436.4;-1;2261452;2261108;1591;54
gene10155;NT_037436.4;-1;2261714;2261614;1853;0
gene10156;NT_037436.4;1;2263295;2263355;2667;0
gene10157;NT_037436.4;-1;2265495;2265423;734;2
gene10158;NT_037436.4;1;2266532;2266603;58;0
gene10162;NT_037436.4;-1;2270942;2270509;8445;5
gene10162;NT_037436.4;-1;2272250;2271140;12927;60
gene10164;NT_037436.4;1;2277451;2277508;11384;0
gene10165;NT_037436.4;1;2297724;2298152;227;0
gene10168;NT_037436.4;1;2338990;2342647;106;2
gene10168;NT_037436.4;1;2343751;2343851;844;0
gene10170;NT_037436.4;-1;2370105;2370049;5828;0
gene10171;NT_037436.4;1;2372464;2372525;23241;2
gene10172;NT_037436.4;-1;2373128;2373068;11585;16
gene10173;NT_037436.4;1;2374676;2374728;1108;0
gene10174;NT_037436.4;-1;2377275;2377221;34;0
gene10175;NT_037436.4;1;2436229;2439498;1395;274
gene10175;NT_037436.4;1;2439831;2443389;913;477
gene10175;NT_037436.4;1;2443839;2443987;1077;0
gene10175;NT_037436.4;1;2444088;2444498;1561;96
gene10175;NT_037436.4;1;2446102;2459590;2257;259
gene10175;NT_037436.4;1;2460154;2461145;2105;6
gene10175;NT_037436.4;1;2461269;2463056;3046;1688
gene10175;NT_037436.4;1;2484838;2485072;1011;12
gene10175;NT_037436.4;1;2485229;2495010;1376;412
gene10175;NT_037436.4;1;2495153;2495218;903;0
gene10175;NT_037436.4;1;2495730;2495800;1156;0
gene10175;NT_037436.4;1;2495959;2496017;1375;0
gene10175;NT_037436.4;1;2498037;2498098;4824;1
gene10175;NT_037436.4;1;2498347;2498405;2588;0
gene10177;NT_037436.4;-1;2389900;2389841;1212;0
gene10178;NT_037436.4;-1;2390482;2390424;455;0
gene10179;NT_037436.4;-1;2475180;2475118;423;0
gene1018;NC_004354.4;1;9030897;9040037;400;99
gene1018;NC_004354.4;1;9050936;9051036;2706;755
gene1018;NC_004354.4;1;9051123;9051184;3300;0
gene1018;NC_004354.4;1;9051411;9051467;304;0
gene1018;NC_004354.4;1;9052218;9052277;2686;0
gene1018;NC_004354.4;1;9052389;9052449;4129;0
gene10180;NT_037436.4;-1;2477184;2477119;642;3
gene10180;NT_037436.4;-1;2477443;2477382;352;3
gene10180;NT_037436.4;-1;2477689;2477514;2006;30
gene10180;NT_037436.4;-1;2478145;2478077;1194;0
gene10182;NT_037436.4;-1;2499690;2499624;19603;1
gene10182;NT_037436.4;-1;2501069;2500463;5897;1279
gene10182;NT_037436.4;-1;2503142;2501142;13120;569
gene10184;NT_037436.4;-1;2508638;2508574;5735;0
gene10184;NT_037436.4;-1;2509363;2508866;1345;1001
gene10184;NT_037436.4;-1;2509761;2509501;2988;19
gene10184;NT_037436.4;-1;2511162;2510558;1941;1228
gene10184;NT_037436.4;-1;2511877;2511764;1410;519
gene10184;NT_037436.4;-1;2512294;2511932;997;524
gene10184;NT_037436.4;-1;2512531;2512473;3451;641
gene10184;NT_037436.4;-1;2512792;2512732;2728;1
gene10184;NT_037436.4;-1;2513208;2513146;4277;0
gene10184;NT_037436.4;-1;2513695;2513639;1620;0
gene10184;NT_037436.4;-1;2524598;2514198;1828;351
gene10184;NT_037436.4;-1;2534710;2525719;2062;50
gene10187;NT_037436.4;-1;2556791;2556730;6237;0
gene10187;NT_037436.4;-1;2556941;2556867;4331;1
gene10187;NT_037436.4;-1;2557135;2557077;9772;20
gene10187;NT_037436.4;-1;2557340;2557286;8781;1
gene10187;NT_037436.4;-1;2557571;2557509;7923;1
gene10187;NT_037436.4;-1;2557792;2557728;7646;0
gene10187;NT_037436.4;-1;2560115;2558390;1421;1278
gene10187;NT_037436.4;-1;2561931;2560296;83;12
gene10187;NT_037436.4;-1;2563817;2562844;373;6
gene10187;NT_037436.4;-1;2564396;2563960;2457;117
gene10187;NT_037436.4;-1;2565600;2564756;841;227
gene10187;NT_037436.4;-1;2566201;2565622;1157;28
gene10187;NT_037436.4;-1;2566433;2566376;414;0
